1000, 47421, 32942
2000, 27813, 68769
3000, 33103, 101245
4000, 39182, 140526
5000, 50345, 183159
6000, 61872, 229434
7000, 72121, 273043
8000, 82187, 315036
9000, 95437, 362368
10000, 154569, 405867
11000, 169543, 461436
12000, 182138, 489125
13000, 193626, 504521
14000, 203637, 532216
15000, 227392, 558136
16000, 223895, 733474
17000, 268822, 772323
18000, 196035, 730906
19000, 203731, 774709
20000, 214552, 800325
21000, 227948, 845589
22000, 238738, 930380
23000, 250071, 930777
24000, 256576, 989645
25000, 268845, 1025724
26000, 282484, 1219906
27000, 299174, 1142422
28000, 304069, 1391167
29000, 316455, 1183023
30000, 326533, 1228708
31000, 336479, 1259591
32000, 391548, 1299131
33000, 410573, 1004945
34000, 297151, 996050
35000, 251599, 1029462
36000, 259196, 1177147
37000, 401939, 8428853
38000, 2821386, 3429809
39000, 522697, 2256126
40000, 458840, 1987445
41000, 490466, 1855535
42000, 425205, 1797571
43000, 466311, 1660221
44000, 422230, 1643456
45000, 415787, 1494503
46000, 424067, 1608883
47000, 401944, 1498926
48000, 453647, 1570818
49000, 419254, 1922126
50000, 538469, 1696645
51000, 472831, 1888109
52000, 483351, 1814475
53000, 487605, 1856810
54000, 592236, 1793959
55000, 708497, 1903587
56000, 642344, 1920692
57000, 560612, 2153147
58000, 593264, 2051414
59000, 619540, 2160877
60000, 656535, 3044859
61000, 786824, 2521323
62000, 676172, 2280169
63000, 682069, 2787762
64000, 835629, 2394049
65000, 822967, 2427169
66000, 8739784, 9895203
67000, 1630332, 4325055
68000, 1253656, 3723690
69000, 1131465, 3616246
70000, 1051052, 2871295
71000, 946230, 2849239
72000, 1179461, 3007609
73000, 7653360, 6133615
74000, 1687745, 4455291
75000, 1409967, 4381638
76000, 1166838, 3349070
77000, 1060648, 3394670
78000, 1279628, 3872950
79000, 1102323, 3373527
80000, 1159049, 3388388
81000, 1221004, 3600106
82000, 1194797, 3749588
83000, 1214356, 4123451
84000, 1323526, 4208372
85000, 1410415, 20239597
86000, 2110992, 6202483
87000, 1648614, 5172240
88000, 1402091, 4561955
89000, 1332105, 4109787
90000, 1438433, 4388679
91000, 1455314, 4278161
92000, 1685259, 4497119
93000, 1480739, 4995189
94000, 1498673, 5027245
95000, 1523548, 4683766
96000, 1679908, 5228828
97000, 1545621, 5029912
98000, 1586933, 5575637
99000, 1625551, 4967150
100000, 1607623, 21862774
