2, 50, 30, 9383, 9383
3, 35, 26, 886, 886
4, 27, 23, 2777, 2777
5, 17, 22, 6915, 6915
6, 17, 23, 7793, 7793
7, 16, 23, 8335, 8335
8, 17, 22, 5386, 5386
9, 17, 22, 492, 492
10, 18, 21, 6649, 6649
11, 16, 22, 1421, 1421
12, 18, 21, 2362, 2362
13, 16, 23, 27, 27
14, 17, 22, 8690, 8690
15, 23, 182, 59, 59
16, 23, 30, 7763, 7763
17, 24, 29, 3926, 3926
18, 24, 30, 540, 540
19, 24, 30, 3426, 3426
20, 23, 30, 9172, 9172
21, 22, 31, 5736, 5736
22, 23, 31, 5211, 5211
23, 23, 31, 5368, 5368
24, 24, 31, 2567, 2567
25, 24, 30, 6429, 6429
26, 24, 32, 5782, 5782
27, 23, 30, 1530, 1530
28, 23, 30, 2862, 2862
29, 24, 30, 5123, 5123
30, 23, 30, 4067, 4067
31, 24, 32, 3135, 3135
32, 25, 30, 3929, 3929
33, 25, 30, 9802, 9802
34, 23, 30, 4022, 4022
35, 23, 29, 3058, 3058
36, 22, 29, 3069, 3069
37, 23, 30, 8167, 8167
38, 24, 30, 1393, 1393
39, 23, 30, 8456, 8456
40, 23, 31, 5011, 5011
41, 24, 31, 8042, 8042
42, 23, 32, 6229, 6229
43, 25, 31, 7373, 7373
44, 25, 31, 4421, 4421
45, 24, 31, 4919, 4919
46, 24, 32, 3784, 3784
47, 24, 30, 8537, 8537
48, 23, 29, 5198, 5198
49, 23, 30, 4324, 4324
50, 23, 30, 8315, 8315
51, 22, 31, 4370, 4370
52, 23, 29, 6413, 6413
53, 22, 30, 3526, 3526
54, 22, 32, 6091, 6091
55, 24, 31, 8980, 8980
56, 23, 31, 9956, 9956
57, 25, 32, 1873, 1873
58, 25, 31, 6862, 6862
59, 25, 32, 9170, 9170
60, 24, 32, 6996, 6996
61, 24, 30, 7281, 7281
62, 25, 30, 2305, 2305
63, 24, 30, 925, 925
64, 23, 31, 7084, 7084
65, 23, 30, 6327, 6327
66, 23, 29, 336, 336
67, 23, 31, 6505, 6505
68, 24, 29, 846, 846
69, 24, 30, 1729, 1729
70, 24, 31, 1313, 1313
71, 23, 32, 5857, 5857
72, 23, 30, 6124, 6124
73, 22, 29, 3895, 3895
74, 23, 31, 9582, 9582
75, 25, 30, 545, 545
76, 24, 31, 8814, 8814
77, 23, 30, 3367, 3367
78, 24, 28, 5434, 5434
79, 23, 29, 364, 364
80, 24, 30, 4043, 4043
81, 23, 31, 3750, 3750
82, 23, 31, 1087, 1087
83, 23, 31, 6808, 6808
84, 23, 30, 7276, 7276
85, 23, 31, 7178, 7178
86, 25, 30, 5788, 5788
87, 24, 31, 3584, 3584
88, 23, 29, 5403, 5403
89, 23, 31, 2651, 2651
90, 25, 30, 2754, 2754
91, 24, 31, 2399, 2399
92, 23, 30, 9932, 9932
93, 23, 31, 5060, 5060
94, 24, 28, 9676, 9676
95, 24, 30, 3368, 3368
96, 22, 30, 7739, 7739
97, 24, 30, 12, 12
98, 24, 32, 6226, 6226
99, 24, 31, 8586, 8586
100, 24, 30, 8094, 8094
101, 24, 31, 7539, 7539
102, 24, 29, 795, 795
103, 24, 30, 570, 570
104, 22, 31, 1434, 1434
105, 23, 30, 378, 378
106, 22, 31, 7467, 7467
107, 23, 31, 6601, 6601
108, 23, 29, 97, 97
